[24/11/2020 01:11:30 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0135 ms
[24/11/2020 01:11:59 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0122 ms
[24/11/2020 01:11:94 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.014 ms
[24/11/2020 01:11:88 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.031 ms
[24/11/2020 01:11:78 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0139 ms
[24/11/2020 01:11:62 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0097 ms
[24/11/2020 01:11:61 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0056 ms
[24/11/2020 01:11:52 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0074 ms
[24/11/2020 01:11:33 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0061 ms
[24/11/2020 01:11:27 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0047 ms
[24/11/2020 01:11:09 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0041 ms
[24/11/2020 01:11:30 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0078 ms
[24/11/2020 01:11:76 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0078 ms
[24/11/2020 01:11:96 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0061 ms
[24/11/2020 01:11:86 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0085 ms
[24/11/2020 01:11:66 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0055 ms
[24/11/2020 01:11:73 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0059 ms
[24/11/2020 01:11:14 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0071 ms
[24/11/2020 01:11:48 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0201 ms
[24/11/2020 01:11:51 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0056 ms
[24/11/2020 01:11:14 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0063 ms
[24/11/2020 01:11:78 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0066 ms
[24/11/2020 01:11:28 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0048 ms
[24/11/2020 01:11:45 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0078 ms
[24/11/2020 01:11:37 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0123 ms
[24/11/2020 01:11:37 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0061 ms
[24/11/2020 01:11:17 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0078 ms
[24/11/2020 01:11:12 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0056 ms
[24/11/2020 01:11:81 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0052 ms
[24/11/2020 01:11:56 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0072 ms
[24/11/2020 01:11:50 AM] | GET:/style.css | Status: 200 | Request Duration: 0.005 ms
[24/11/2020 01:11:79 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0057 ms
[24/11/2020 01:11:57 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0058 ms
[24/11/2020 01:11:23 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0084 ms
[24/11/2020 01:11:42 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0071 ms
[24/11/2020 01:11:77 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0074 ms
[24/11/2020 01:11:12 AM] | GET:/style.css | Status: 200 | Request Duration: 0.005 ms
[24/11/2020 01:11:12 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0079 ms[24/11/2020 02:11:58 AM] | GET:/app | Status: 200 | Request Duration: 0.019 ms
[24/11/2020 02:11:63 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0129 ms
[24/11/2020 02:11:20 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0122 ms
[24/11/2020 02:11:42 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0154 ms
[24/11/2020 02:11:19 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0129 ms
[24/11/2020 02:11:17 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.018 ms
[24/11/2020 02:11:98 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0295 ms
[24/11/2020 02:11:34 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0171 ms
[24/11/2020 02:11:06 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0182 ms
[24/11/2020 02:11:85 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0187 ms
[24/11/2020 02:11:56 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0114 ms
[24/11/2020 02:11:20 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0111 ms
[24/11/2020 02:11:36 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0088 ms
[24/11/2020 02:11:67 AM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0118 ms
[24/11/2020 02:11:83 AM] | GET:/app/baa | Status: 200 | Request Duration: 0.0293 ms
[24/11/2020 02:11:31 AM] | GET:/app/baa | Status: 404 | Request Duration: 0.0158 ms
[24/11/2020 02:11:86 AM] | GET:/app/baa | Status: 404 | Request Duration: 0.0072 ms
[24/11/2020 02:11:75 AM] | GET:/app/search?country=South | Status: 404 | Request Duration: 0.0079 ms
[24/11/2020 02:11:60 AM] | GET:/app/search?country=South | Status: 404 | Request Duration: 0.0154 ms
[24/11/2020 02:11:28 AM] | GET:/app/search?country=South | Status: 404 | Request Duration: 0.0277 ms + Error Message: Not Found
[24/11/2020 02:11:84 AM] | GET:/app/search?country=South | Status: 404 | Request Duration: 0.0184 ms | Error Message: Not Found
[24/11/2020 02:11:95 AM] | GET:/app/search?country=South+Africa | Status: 404 | Request Duration: 0.0103 ms | Error Message: Not Found
[24/11/2020 02:11:81 AM] | GET:/app/baa | Status: 404 | Request Duration: 0.0207 ms | Error Message: Not Found
[24/11/2020 02:11:62 AM] | GET:/app | Status: 304 | Request Duration: 0.0079 ms | Error Message: Not Modified
[24/11/2020 02:11:65 AM] | GET:/style.css | Status: 304 | Request Duration: 0.0111 ms | Error Message: Not Modified
[24/11/2020 02:11:01 AM] | GET:/bb | Status: 404 | Request Duration: 0.0133 ms | Error Message: Not Found
[24/11/2020 02:11:25 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0129 ms 
[24/11/2020 02:11:48 AM] | GET:/style.css | Status: 304 | Request Duration: 0.0116 ms | Error Message: Not Modified
[24/11/2020 02:11:28 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.011 ms 
[24/11/2020 02:11:08 AM] | GET:/style.css | Status: 304 | Request Duration: 0.0093 ms | Error Message: Not Modified
[24/11/2020 02:11:22 AM] | GET:/app | Status: 200 | Request Duration: 0.0107 ms 
[24/11/2020 02:11:25 AM] | GET:/style.css | Status: 304 | Request Duration: 0.0289 ms | Error Message: Not Modified
[24/11/2020 12:11:24 PM] | GET:/app/search?country=%22South%20Africa%22 | Status: 404 | Request Duration: 0.0145 ms | Error Message: Not Found
[24/11/2020 12:11:96 PM] | GET:/app/search?country=%22South%22 | Status: 404 | Request Duration: 0.0059 ms | Error Message: Not Found
